title,home_type,home_status,year_built,address,city,state,postal_code,facts and features,price,offer,monthly_p_i,total_expense,rent_zestimate,days_on_zillow,price_reduction,url
House for sale,SINGLE_FAMILY,FOR_SALE,1989,"937 Vauxhill Ln, Powell, OH 43065",Powell,OH,43065,"5 bds, 6.0 ba ,7822 sqft",619900.0,491200.0,1876.0511450610472,3849.717811727714,3950,0,,https://www.zillow.com/homedetails/937-Vauxhill-Ln-Powell-OH-43065/33735042_zpid/
House for sale,SINGLE_FAMILY,FOR_SALE,2002,"310 Shyanne Ct, Powell, OH 43065",Powell,OH,43065,"4 bds, 4.0 ba ,3000 sqft",371900.0,249500.0,952.9209297490457,2199.754263082379,2300,1,,https://www.zillow.com/homedetails/310-Shyanne-Ct-Powell-OH-43065/58594885_zpid/
House for sale,SINGLE_FAMILY,FOR_SALE,1994,"408 Kingston Ave, Powell, OH 43065",Powell,OH,43065,"4 bds, 3.0 ba ,3748 sqft",389900.0,315900.0,1206.5239347002948,2549.8572680336283,2650,2,,https://www.zillow.com/homedetails/408-Kingston-Ave-Powell-OH-43065/33736850_zpid/
House for sale,SINGLE_FAMILY,FOR_SALE,1940,"441 W Orange Rd, Delaware, OH 43015",Delaware,OH,43015,"3 bds, 3.0 ba ,1836 sqft",418500.0,165600.0,632.4797834326332,1899.9797834326332,2000,2,,https://www.zillow.com/homedetails/441-W-Orange-Rd-Delaware-OH-43015/33729573_zpid/
For sale by owner,SINGLE_FAMILY,FOR_SALE,1987,"282 Slate Run Dr, Powell, OH 43065",Powell,OH,43065,"4 bds, 3.0 ba ,2035 sqft",260000.0,202900.0,774.9405075995246,1749.7738409328579,1850,4,,https://www.zillow.com/homedetails/282-Slate-Run-Dr-Powell-OH-43065/33729939_zpid/
House for sale,SINGLE_FAMILY,FOR_SALE,2000,"787 Village Park Dr, Powell, OH 43065",Powell,OH,43065,"4 bds, 3.0 ba ,2500 sqft",347000.0,260400.0,994.5515435136334,2199.884876846967,2300,5,,https://www.zillow.com/homedetails/787-Village-Park-Dr-Powell-OH-43065/33735570_zpid/
Coming soon,SINGLE_FAMILY,FOR_SALE,2004,"8326 Flagg View Dr, Powell, OH 43065",Powell,OH,43065,"4 bds, 4.0 ba ,2526 sqft",400000.0,321000.0,1226.0024787552852,2594.719145421952,2695,5,,https://www.zillow.com/homedetails/8326-Flagg-View-Dr-Powell-OH-43065/61484193_zpid/
House for sale,SINGLE_FAMILY,FOR_SALE,1961,"8378 Steitz Rd, Powell, OH 43065",Powell,OH,43065,"3 bds, 2.0 ba ,2160 sqft",319900.0,186300.0,711.5397563617123,1794.7564230283792,1895,6,"$10,000 (Nov 6)",https://www.zillow.com/homedetails/8378-Steitz-Rd-Powell-OH-43065/33733092_zpid/
House for sale,SINGLE_FAMILY,FOR_SALE,1997,"9556 Ireland Ct, Powell, OH 43065",Powell,OH,43065,"4 bds, 3.0 ba ,3252 sqft",399900.0,311500.0,1189.718916299911,2549.718916299911,2650,6,,https://www.zillow.com/homedetails/9556-Ireland-Ct-Powell-OH-43065/33733495_zpid/
Lot / Land for sale,LOT,FOR_SALE,-1,"0 Hyatts Rd, Delaware, OH 43015",Delaware,OH,43015,"None bds, None ba ,None sqft",30000.0,0,114.5796709117089,0,,7,,https://www.zillow.com/homedetails/0-Hyatts-Rd-Delaware-OH-43015/2082191816_zpid/
House for sale,SINGLE_FAMILY,FOR_SALE,1972,"1651 Daventry Ln, Powell, OH 43065",Powell,OH,43065,"5 bds, 6.0 ba ,8574 sqft",1597000.0,1118000.0,4270.002402643019,8815.709069309687,8916,8,,https://www.zillow.com/homedetails/1651-Daventry-Ln-Powell-OH-43065/33734820_zpid/
Condo for sale,CONDO,FOR_SALE,1997,"9448 Clermont Blvd, Powell, OH 43065",Powell,OH,43065,"3 bds, 2.0 ba ,1703 sqft",237500.0,157700.0,602.3071367592165,1749.6404700925498,1850,9,,https://www.zillow.com/homedetails/9448-Clermont-Blvd-Powell-OH-43065/33733328_zpid/
Condo for sale,CONDO,FOR_SALE,1999,"10153 Chelton Wood, Powell, OH 43065",Powell,OH,43065,"3 bds, 3.0 ba ,4164 sqft",697000.0,417200.0,1593.4212901454985,3918.697956812165,4019,9,,https://www.zillow.com/homedetails/10153-Chelton-Wood-Powell-OH-43065/55630424_zpid/
